X,Y,height,Color,Details
-73.9809446489564,40.7685032165879,15,Gray,in tree!
-73.9590551473416,40.7891607060794,2,Gray,tree trunk
-73.9587787592751,40.7981699014259,30,Gray,bottom of great hill
-73.973552877209,40.7715638228207,0,Gray,Ground & Tree Base
-73.9726699686943,40.7701123791223,0,Gray,under bench
-73.9727323797981,40.7669035463955,40,Gray,building nest
-73.9698446365683,40.7842607168578,4,Gray,on fence
-73.9605347462123,40.7942075448387,0,Cinnamon,lawn
-73.9736489041867,40.7712143385426,0,Gray,under a tree
-73.9596083366477,40.7949526729608,0,Cinnamon,Ran across path in front of people
-73.9595222999173,40.7833202577782,31,Cinnamon,on tree
-73.9696274291417,40.7691980808067,0,Black,Trash bins
-73.974382557804,40.7674812627373,6,Cinnamon,on fence
-73.9693338657183,40.7757055884538,2,Gray,tree trunk
-73.9710221361528,40.7724939691584,2,Gray,"Behind fence, tree trunk"
-73.976869549792,40.7706982454723,12,Cinnamon,thin branch of tree
-73.9612352611518,40.7944813634744,0,Gray,landscaped area
-73.9800271487863,40.7702554167042,0,Gray,A rock
-73.9694805745522,40.7743556902843,17,Cinnamon,Tree
-73.9724947710698,40.7696619340886,30,Gray,branch
-73.9712454251679,40.7674262749891,0,Black,crossing pavement in front of arsenal
-73.9810149147578,40.7683925377714,1,Gray,on trunk
-73.978199543688,40.7695660563362,0,Cinnamon,climbed up tree
-73.9769693140651,40.7684390015166,9,Cinnamon,up a tree
-73.9771726831497,40.7732320781799,0,Gray,trail
-73.9568524771058,40.7974664985551,0,Gray,By The Road
-73.9786351029146,40.7716114164002,0,Gray,elevated ground
-73.9590191812452,40.7906166981409,0,Gray,treed area
-73.9689893412693,40.785308737683,8,Gray,Tree
-73.9713379914423,40.7696367609606,0,Gray,middle of grass
-73.9675917702187,40.7789922281625,8,Gray,Shore
-73.9697159562944,40.7730671417653,0,Gray,Near Summerstage
-73.9700264128414,40.7692014637698,0,Cinnamon,Bench
-73.9543832609857,40.7953550639701,2,Gray,rocks
-73.9615516703494,40.7905219388359,0,Gray,Open ground
-73.9751454725998,40.770291361572,0,Gray,by carousel
-73.9729410488021,40.7709484964577,4,Gray,to tree
-73.9620542514749,40.7943731722138,10,Gray,chasing from tree to ground
-73.972399596842,40.7788765078432,0,Gray,on hill
-73.9708628933624,40.7725630886784,0,Gray,"Under ""Grape Arbor"" structure behind Bandshell"
-73.972179947936,40.7810042827198,20,Gray,on a little pedestal-shaped part of a tree
-73.9561498646036,40.7949288561893,10,,"unsure, just heard kuks"
-73.969628583287,40.7704067797932,2,Gray,fence
-73.9791217510656,40.7676583475394,0,Gray,right at the base of the same tree as #3
-73.9588339897601,40.7848084865431,35,Gray,tree
-73.9745141185576,40.7691479781207,2,Gray,on a checker table
-73.9566300789162,40.7993692120774,0,Gray,Between park and main drag
-73.9658867660358,40.7756523577509,0,Cinnamon,base of gingko tree
-73.9615429203441,40.7907417648701,20,Gray,Ground then up tree
-73.9653575758687,40.7805339953372,20,Gray,in tree
-73.97296259363,40.7652601851275,2,Cinnamon,on ledge
-73.956289117157,40.7953393993803,0,Gray,edge of the stream
-73.9712022111028,40.7672504368263,3,Black,On top of park lamp
-73.9626065672894,40.788722645116,35,Gray,End of tree limb foraging
-73.9551639847466,40.790858199891,0,Gray,Under Tupelo Tree
-73.9789687905912,40.7692693139328,4,Gray,At fence
-73.9810843611086,40.7687905493699,50,Gray,in tall planetree
-73.9791767156268,40.7714445258765,12,Gray,in tall shrubs near wall next to CPW
-73.9683883750097,40.7754344396847,20,Gray,willow oak tree
-73.9551625272308,40.791193071916,0,Gray,in grass
-73.9809342290598,40.7687265606227,0,Gray,base of tree with ~ 30 small birds all eating
-73.9600357018376,40.7906539766881,65,Gray,tree top
-73.9753585157592,40.7698398607941,1,Gray,on fence
-73.9751615527833,40.767013871509,0,Gray,on the path
-73.9786940945874,40.7690820276888,6,Gray,on rock
-73.9802842404016,40.7678257384977,25,Gray,in tree
-73.9653873284496,40.7804699882574,10,Gray,in tree
-73.9615396457996,40.792359436678296,20,Gray,tree branches
-73.955068474109,40.7911788152878,0,Gray,in grass
-73.9597453664295,40.7891382153733,1,Gray,tree
-73.9744080700098,40.7731515721826,0,Black,on top of tarped sand pile
-73.9726236083428,40.7788217771475,0,Gray,by water
-73.9793101482654,40.7692600238491,10,Gray,in tree
-73.9793923984874,40.7708475474583,10,Gray,Oak tree near rock outcropping
-73.9768563402344,40.7744487310786,0,Cinnamon,foot of tree
-73.9705837974358,40.7758494849673,0,Gray,on rock
-73.9739403850622,40.7693162287509,2,Gray,tree
-73.9649103330443,40.7823913860445,10,Gray,CLIMBED THE TREE
-73.974515099169,40.7700650799886,0,Cinnamon,small open area but w/ 7 large oak trees
-73.9654741695628,40.7890427851106,10,Gray,in a tree
-73.9767389132988,40.7689323691424,6,Cinnamon,climbed the fence & posed for a picture
-73.9630596103391,40.7925720620556,0,Gray,Base of tree
-73.9587236619579,40.7991850180434,0,Gray,edge of park at 108th West
-73.9766693184436,40.7708879215854,25,Gray,Across Transverse
-73.9513477815203,40.7945259614138,0,Gray,along the road
-73.9766342759486,40.7687518380873,3,Gray,on tree trunk
